"Date","Price","Open","High","Low","Vol.","Change %"
"07/03/2025","6,279.35","6,246.46","6,284.65","6,246.46","","0.83%"
"07/02/2025","6,227.42","6,193.88","6,227.60","6,188.29","","0.47%"
"07/01/2025","6,198.01","6,187.25","6,210.78","6,177.97","","-0.11%"
"06/30/2025","6,204.95","6,193.36","6,215.08","6,174.97","","0.52%"
"06/27/2025","6,173.07","6,150.70","6,187.68","6,132.35","","0.52%"
"06/26/2025","6,141.02","6,112.09","6,146.52","6,107.27","","0.80%"
"06/25/2025","6,092.16","6,104.23","6,108.51","6,080.09","","0.00%"
"06/24/2025","6,092.18","6,061.21","6,101.76","6,059.25","","1.11%"
"06/23/2025","6,025.17","5,969.67","6,028.77","5,943.23","","0.96%"
"06/20/2025","5,967.84","5,999.67","6,018.20","5,952.56","","-0.22%"
"06/18/2025","5,980.87","5,987.93","6,018.25","5,971.89","","-0.03%"
"06/17/2025","5,982.72","6,012.15","6,023.25","5,974.80","","-0.84%"
"06/16/2025","6,033.11","6,004.00","6,050.83","6,004.00","","0.94%"
"06/13/2025","5,976.97","6,000.56","6,026.16","5,963.21","","-1.13%"
"06/12/2025","6,045.26","6,009.90","6,045.43","6,003.88","","0.38%"
"06/11/2025","6,022.24","6,049.38","6,059.40","6,002.32","","-0.27%"
"06/10/2025","6,038.81","6,009.91","6,043.01","6,000.28","","0.55%"
"06/09/2025","6,005.88","6,004.63","6,021.31","5,994.18","","0.09%"
"06/06/2025","6,000.36","5,987.06","6,016.87","5,978.63","","1.03%"
"06/05/2025","5,939.30","5,985.67","5,999.70","5,921.20","","-0.53%"
